desertionNo,kindNm,colorCd,specialMark,sexCd,happenPlace,orgNm,processState,popfile1
447505202600469,한국 고양이,검은색흰색황토색조합,밥을 너무 잘먹고 건강해요!! 줄무늬가 굉장히 매력적이고 약간 수달을 닮았어요,F,새안현로 21 부근,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191305455.jpg
446483202600717,한국 고양이,기타(검갈흰),생후50일정도로보임,M,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191805730.jpg
446483202600716,한국 고양이,기타(흰검),생후50일정도로보임,M,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191805373.jpg
446483202600715,한국 고양이,기타(흰갈검),생후50일정도로보임,F,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/20260519180518.jpg
446483202600714,한국 고양이,검정색,생후50일정도로보임 ,M,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191805103.jpg
446483202600713,한국 고양이,검은색흰색황토색조합,생후50일정도로보임,F,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/20260519180535.jpg
446483202600712,한국 고양이,기타(흰검갈),생후50일정도로보임,F,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191805207.jpg
446483202600711,한국 고양이,기타(흰갈),생후50일정도로보임,F,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191805924.jpg
446483202600710,한국 고양이,기타(갈흰),생후50일정도로보임,M,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191805275[1].jpg
446483202600709,한국 고양이,검은색흰색황토색조합,생후50일정도로보임,M,나주시남평읍동촌로300,전라남도 나주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/20260519180509.jpg
